2020_aws_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,timer,status,time,start,tag,uname.node,user,uname.system,platform.version
2020_aws_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_01_setup/test_cms_vm,ok,25.853,2020-04-30 20:46:50,aws,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_aws_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,timer,status,time,start,tag,uname.node,user,uname.system,platform.version
2020_aws_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_create,ok,0.75,2020-04-30 20:47:24,aws,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_aws_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_list,ok,1.057,2020-04-30 20:47:40,aws,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_aws_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_attach,ok,3.277,2020-04-30 20:47:41,aws,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_aws_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_detach,ok,11.26,2020-04-30 20:47:50,aws,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_aws_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_delete,ok,5.617,2020-04-30 20:48:06,aws,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_aws_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,timer,status,time,start,tag,uname.node,user,uname.system,platform.version
2020_aws_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_03_teardown/test_cms_terminate,ok,35.294,2020-04-30 20:48:16,aws,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_azure_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,timer,status,time,start,tag,uname.node,user,uname.system,platform.version
2020_azure_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_01_setup/test_cms_vm,ok,202.411,2020-04-30 21:00:02,azure,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_azure_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,timer,status,time,start,tag,uname.node,user,uname.system,platform.version
2020_azure_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_create,ok,3.192,2020-04-30 21:03:33,azure,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_azure_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_list,ok,0.526,2020-04-30 21:03:36,azure,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_azure_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_attach,ok,31.374,2020-04-30 21:03:37,azure,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_azure_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_detach,ok,31.123,2020-04-30 21:04:13,azure,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_azure_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_delete,ok,30.702,2020-04-30 21:04:50,azure,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_azure_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,timer,status,time,start,tag,uname.node,user,uname.system,platform.version
2020_azure_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_03_teardown/test_cms_terminate,ok,286.795,2020-04-30 21:05:24,azure,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_google_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,timer,status,time,start,tag,uname.node,user,uname.system,platform.version
2020_google_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_01_setup/test_cms_vm,ok,25.479,2020-04-30 20:48:57,google,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_google_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,timer,status,time,start,tag,uname.node,user,uname.system,platform.version
2020_google_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_create,ok,3.683,2020-04-30 20:49:32,google,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_google_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_list,ok,1.707,2020-04-30 20:49:35,google,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_google_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_attach,ok,108.138,2020-04-30 20:49:37,google,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_google_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_detach,ok,223.865,2020-04-30 20:51:32,google,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_google_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_delete,ok,4.939,2020-04-30 20:55:23,google,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_google_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,timer,status,time,start,tag,uname.node,user,uname.system,platform.version
2020_google_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_03_teardown/test_cms_terminate,ok,115.435,2020-04-30 20:55:34,google,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_multipass_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,timer,status,time,start,tag,uname.node,user,uname.system,platform.version
2020_multipass_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_01_setup/test_cms_vm,ok,63.495,2020-04-30 20:57:34,multipass,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_multipass_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,timer,status,time,start,tag,uname.node,user,uname.system,platform.version
2020_multipass_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_create,ok,0.286,2020-04-30 20:58:55,multipass,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
2020_multipass_volume_peter_cloudmesh-volume_tests-cloud.log:# csv,test_02_volume_provider/test_provider_volume_list,ok,0.483,2020-04-30 20:59:11,multipass,DESKTOP-8KFG755,petem,Windows,('10', '10.0.18362', 'SP0', '')
